poi_id,name,name_en,category,city,country,location,address,osm_tags,osm_id,osm_type,raw_data,_ingestion_timestamp,_city,_category,_source,_layer,rating,review_count,google_place_id,types,_collected_at,_batch,_job_id,_city_tier,_grid_point,_grid_center,_retry_batch
mock_hanoi_restaurant_0,Banh Xeo 1,Banh Xeo 1,restaurant,hanoi,VN,"{'lat': 21.051066, 'lng': 105.860597}","192 Nguyen Hue, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",6391775.0,node,"{'type': 'node', 'id': 9568395, 'lat': 21.051066, 'lon': 105.860597, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Banh Xeo 1'}}",2026-05-09T16:53:48.567365,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_1,Lau De 2,Lau De 2,restaurant,hanoi,VN,"{'lat': 21.024964, 'lng': 105.846792}","54 Nguyen Hue, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",6885918.0,node,"{'type': 'node', 'id': 1318547, 'lat': 21.024964, 'lon': 105.846792, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Lau De 2'}}",2026-05-09T16:53:48.567388,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_2,Pho Gia Truyen 3,Pho Gia Truyen 3,restaurant,hanoi,VN,"{'lat': 21.030431, 'lng': 105.86326}","47 Tran Hung Dao, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",3522679.0,node,"{'type': 'node', 'id': 2678104, 'lat': 21.030431, 'lon': 105.86326, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Pho Gia Truyen 3'}}",2026-05-09T16:53:48.567403,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_3,Bun Cha Ha Noi 4,Bun Cha Ha Noi 4,restaurant,hanoi,VN,"{'lat': 21.001066, 'lng': 105.851829}","178 Tran Hung Dao, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",4815248.0,node,"{'type': 'node', 'id': 2120231, 'lat': 21.001066, 'lon': 105.851829, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Bun Cha Ha Noi 4'}}",2026-05-09T16:53:48.567411,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_4,Pho Gia Truyen 5,Pho Gia Truyen 5,restaurant,hanoi,VN,"{'lat': 21.043952, 'lng': 105.832429}","59 Le Loi, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",3397589.0,node,"{'type': 'node', 'id': 8183528, 'lat': 21.043952, 'lon': 105.832429, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Pho Gia Truyen 5'}}",2026-05-09T16:53:48.567418,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_5,Bun Cha Ha Noi 6,Bun Cha Ha Noi 6,restaurant,hanoi,VN,"{'lat': 21.011219, 'lng': 105.82428}","55 Tran Hung Dao, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",7858890.0,node,"{'type': 'node', 'id': 6457596, 'lat': 21.011219, 'lon': 105.82428, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Bun Cha Ha Noi 6'}}",2026-05-09T16:53:48.567426,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_6,Lau De 7,Lau De 7,restaurant,hanoi,VN,"{'lat': 20.998154, 'lng': 105.816061}","9 Tran Hung Dao, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",2968277.0,node,"{'type': 'node', 'id': 6107531, 'lat': 20.998154, 'lon': 105.816061, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Lau De 7'}}",2026-05-09T16:53:48.567433,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_7,Bun Cha Ha Noi 8,Bun Cha Ha Noi 8,restaurant,hanoi,VN,"{'lat': 21.004532, 'lng': 105.847604}","25 Tran Hung Dao, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",6626523.0,node,"{'type': 'node', 'id': 6369376, 'lat': 21.004532, 'lon': 105.847604, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Bun Cha Ha Noi 8'}}",2026-05-09T16:53:48.567441,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_8,Banh Xeo 9,Banh Xeo 9,restaurant,hanoi,VN,"{'lat': 21.050174, 'lng': 105.820347}","36 Nguyen Hue, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",5573457.0,node,"{'type': 'node', 'id': 9496798, 'lat': 21.050174, 'lon': 105.820347, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Banh Xeo 9'}}",2026-05-09T16:53:48.567450,hanoi,restaurant,mock,bronze,,,,,,,,,,,
mock_hanoi_restaurant_9,Banh Xeo 10,Banh Xeo 10,restaurant,hanoi,VN,"{'lat': 21.014399, 'lng': 105.847772}","146 Le Loi, Hanoi","{'amenity': 'restaurant', 'cuisine': 'vietnamese'}",8016930.0,node,"{'type': 'node', 'id': 6111628, 'lat': 21.014399, 'lon': 105.847772, 'tags': {'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Banh Xeo 10'}}",2026-05-09T16:53:48.567457,hanoi,restaurant,mock,bronze,,,,,,,,,,,
